id,chain,host,location,year,subtype
AEM63482,A,,Blore,2009,H1N1
AEM63500,A,,Lur,2010,H1N1
AEM75239,A,avian,Wisconsin,2009,H1N1
AEM75431,A,avian,Mississippi,2010,H10N7
AEM75523,A,avian,Wisconsin,2009,H3N2
AEN02518,A,avian,Fujian,2011,H9N2
AEN55513,A,,Bangkok,2010,H1N1
AEN68575,A,swine,Italy,2010,H1N2
AEN68577,A,swine,Italy,2010,H1N2
AEN68581,A,swine,Italy,2010,H1N2
AEN68619,A,avian,Israel,2011,H5N1
AEN68938,A,,Cambodia,2011,H5N1
AEN68939,A,avian,Cambodia,2008,H5N1
AEN94603,A,avian,Lao,2010,H5N1
AEN94876,A,swine,North Carolina,2005,H1N1
AEN94886,A,swine,North Carolina,2002,H1N1
AEN95123,A,avian,,2001,H9N2
AEO01499,A,,England,2009,H1N1
AEO01598,A,,England,2009,H1N1
AEO01612,A,,England,2009,H1N1
AEO01709,A,,Mexico,2008,H1N1
AEO52326,A,avian,Zhejiang,2011,H5N1
AEO89145,A,,Xinjiang,2009,H5N1
AEO89163,A,,Guangxi,2009,H5N1
AEO89172,A,,Hunan,2009,H5N1
AEO91779,A,swine,North Carolina,2005,H1N1
AEO91855,A,swine,Minnesota,2008,H1N2
AEP17073,A,swine,Iowa,2011,H1N2
AEP17078,A,swine,Illinois,2011,H1N2
AEP17277,A,swine,Iowa,2011,H1N1
AEP17308,A,avian,Ontario,2011,H3N2
AEP32455,A,,Thailand,2009,H1N1
AEP71333,A,avian,Egypt,2009,H5N1
AEP84526,A,avian,Egypt,2011,H5N1
AEQ38190,A,,Hong Kong,2009,H1N1
AEQ38195,A,,Hong Kong,2009,H1N1
AEQ61287,A,swine,Jiangsu,2011,H1N1
AEQ61347,A,swine,Jiangsu,2011,H1N1
AEQ61437,A,swine,Jiangsu,2010,H1N1
AEQ72820,A,avian,Egypt,2010,H5N1
AEQ72868,A,avian,Egypt,2011,H5N1
AEQ72881,A,avian,Egypt,2011,H5N1
AEQ72884,A,avian,Egypt,2011,H5N1
AEQ72889,A,avian,Egypt,2011,H5N1
AET11800,A,avian,Sanjiang,2007,H1N1
AET74962,A,avian,Delaware,1988,H9N9
AET75834,A,avian,Delaware Bay,1994,H3N2
AET76679,A,avian,Delaware Bay,1999,H3N8
AET76690,A,avian,Delaware Bay,1999,H3N2
AET77176,A,avian,Delaware Bay,2003,H9N1
AET77666,A,avian,Alberta,2006,H7N3
AET80429,A,avian,Vietnam,2011,H5N1
AET84295,A,,Nevada,2009,H1N1
AEU05027,A,,Indiana,2011,H3N2
AEV40002,A,,Shenzhen,2009,H1N1
AEV40049,A,,Shenzhen,2009,H1N1
AEV40056,A,,Shenzhen,2009,H1N1
AEV40282,A,avian,Hebei,2009,H5N2
